门店地址,lng,lat
崇明县港西镇三双公路1581弄1号,121.41905954971803,31.678317051374894
上海市崇明区新崇西路131-1号,121.40110650986364,31.63140647066295
"南奉公路7500-119,120B",121.49512487670823,30.923888800054034
奉贤区百齐路288号一层G41-F01-1-037,121.49073588085095,30.920587124466895
川南奉公路9967-2、9969号,121.73356699859688,30.94857263703384
上海市奉贤区西渡街道西闸公路1384号,121.44446683738919,30.99781717491809
奉贤区青村镇光明路197-201号,121.52443662502425,30.91205257668097
南奉公路8961-8963号,121.47919221038651,30.920075630396738
奉贤区庄行镇东街5号,121.59100402772181,31.35220789314484
奉贤区柘林镇新柘中路86号,121.48132362076834,30.83620664290006
奉贤区南桥镇西渡沪杭公路88－98号,121.44025399025935,30.928871411006742
